,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
260,"[4, 5, 11, 7, 11, 5]",38,830,448,16590,68.79325883201155,4554,16,81
261,"[4, 5, 11, 7, 11, 5]",43,779,1336,15144,48.5767760433259,4006,15,84
262,"[4, 5, 11, 8, 10, 5]",38,838,501,20112,66.58165104542178,4356,25,54
263,"[4, 5, 11, 8, 10, 5]",43,872,1260,14808,50.30264415418924,4041,21,70
264,"[4, 5, 12, 4, 13, 5]",38,957,349,19248,70.9021268925739,4494,26,77
265,"[4, 5, 12, 4, 13, 5]",43,798,1270,15246,46.45030264415419,4121,16,76
266,"[4, 5, 12, 5, 12, 5]",38,993,360,26796,68.62923576063447,4263,45,52
267,"[4, 5, 12, 5, 12, 5]",43,869,1271,18192,48.25342465753425,3922,19,80
268,"[4, 5, 12, 6, 11, 5]",38,833,397,21840,68.67700072098053,4470,20,77
269,"[4, 5, 12, 6, 11, 5]",43,723,1303,13572,47.85122650525645,4045,17,75
270,"[4, 5, 12, 7, 10, 5]",38,880,503,21936,67.63428262436915,4300,36,61
271,"[4, 5, 12, 7, 10, 5]",43,699,1285,14592,49.516565785281934,4095,13,76
272,"[4, 5, 13, 4, 12, 5]",38,929,340,14274,68.76351838500361,4539,8,99
273,"[4, 5, 13, 4, 12, 5]",43,929,1313,17550,47.50079643198471,3902,19,91
274,"[4, 5, 13, 5, 11, 5]",38,828,409,18600,67.37653208363375,4383,23,67
275,"[4, 5, 13, 5, 11, 5]",43,940,1354,23808,48.53376871615164,3963,28,99
276,"[4, 5, 13, 6, 10, 5]",38,899,497,15198,64.85400144196106,4236,10,78
277,"[4, 5, 13, 6, 10, 5]",43,866,1369,16236,49.727620261229696,3972,21,64
278,"[4, 5, 14, 4, 11, 5]",38,878,428,15246,66.33922134102379,4412,11,85
279,"[4, 5, 14, 4, 11, 5]",43,869,1329,15498,48.52182223638101,4039,15,92
280,"[4, 5, 14, 5, 10, 5]",38,985,513,27768,64.85940879596251,4147,49,53
281,"[4, 5, 14, 5, 10, 5]",43,839,1354,20568,49.17648932781141,4171,30,72
282,"[4, 5, 15, 4, 10, 5]",38,934,508,13416,65.33165104542178,4475,5,118
283,"[4, 5, 15, 4, 10, 5]",43,919,1305,16932,48.43819687798662,3906,11,96
284,"[4, 6, 4, 7, 17, 5]",38,1534,131,114840,74.86571737563085,4026,35,919
285,"[4, 6, 4, 7, 17, 5]",43,1423,1300,68460,45.4587448231921,3292,12,770
286,"[4, 6, 4, 8, 16, 5]",38,1330,178,83424,72.32966834895458,4161,4,885
287,"[4, 6, 4, 8, 16, 5]",43,1709,1386,104154,47.674418604651166,3235,35,920
288,"[4, 6, 4, 9, 15, 5]",38,1693,195,105540,72.09625090122567,4028,22,926
